time,user,action,object_id,poem,media,event
4,bot_twitter,tweet,t00001,alejandro_albarrán_confusion_from_spanish_trans_rachel_galvin_poem_1.txt,True,
5,tw_user_9,like,t00001,alejandro_albarrán_confusion_from_spanish_trans_rachel_galvin_poem_1.txt,True,
11,tw_user_11,like,t00001,alejandro_albarrán_confusion_from_spanish_trans_rachel_galvin_poem_1.txt,True,
25,tw_dorm_147,like,t00001,alejandro_albarrán_confusion_from_spanish_trans_rachel_galvin_poem_1.txt,True,
179,bot_twitter,tweet,t00002,shuzo_takiguchi_max_ernst_from_japanese_trans_yuki_tanaka_and_mary_jo_bang_poem_2.txt,True,
179,tw_user_9,like,t00002,shuzo_takiguchi_max_ernst_from_japanese_trans_yuki_tanaka_and_mary_jo_bang_poem_2.txt,True,
180,tw_user_3,like,t00002,shuzo_takiguchi_max_ernst_from_japanese_trans_yuki_tanaka_and_mary_jo_bang_poem_2.txt,True,
187,tw_dorm_68,like,t00002,shuzo_takiguchi_max_ernst_from_japanese_trans_yuki_tanaka_and_mary_jo_bang_poem_2.txt,True,
189,tw_dorm_75,like,t00002,shuzo_takiguchi_max_ernst_from_japanese_trans_yuki_tanaka_and_mary_jo_bang_poem_2.txt,True,
355,bot_twitter,tweet,t00003,yoshihara_sachiko_from_radiances_1995_from_japanese_trans_james_garza_poem_2.txt,True,
358,tw_user_9,like,t00003,yoshihara_sachiko_from_radiances_1995_from_japanese_trans_james_garza_poem_2.txt,True,
371,tw_dorm_77,like,t00003,yoshihara_sachiko_from_radiances_1995_from_japanese_trans_james_garza_poem_2.txt,True,
372,tw_user_4,retweet,t00003,yoshihara_sachiko_from_radiances_1995_from_japanese_trans_james_garza_poem_2.txt,True,
537,bot_twitter,tweet,t00004,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
538,tw_user_7,like,t00004,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
540,tw_user_9,like,t00004,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
542,tw_user_3,like,t00004,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
721,bot_twitter,tweet,t00005,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
721,tw_user_2,like,t00005,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
733,tw_dorm_5,like,t00005,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
738,tw_dorm_178,like,t00005,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
739,tw_user_8,retweet,t00005,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
900,bot_twitter,tweet,t00006,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
902,tw_user_10,like,t00006,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
904,tw_user_5,like,t00006,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
907,tw_user_2,like,t00006,0_Laabi_A_PortraitDuPere_PortraitFather_trans_P_Joris.txt,True,
1079,bot_twitter,tweet,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1080,tw_dorm_65,retweet,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1080,tw_user_10,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1084,tw_dorm_200,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1085,tw_dorm_134,retweet,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1087,tw_user_11,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1088,tw_dorm_174,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1089,tw_dorm_97,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1090,tw_dorm_39,retweet,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1094,tw_dorm_187,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1096,tw_user_10,retweet,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1100,tw_dorm_117,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1102,tw_dorm_165,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1103,tw_dorm_195,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1111,tw_dorm_187,retweet,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1115,tw_dorm_69,retweet,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1115,tw_dorm_191,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1116,tw_dorm_155,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1119,tw_dorm_154,like,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1129,tw_dorm_148,retweet,t00007,hatem_alzahrani_ii_from_arabic_trans_moneera_alghadeer_poem_2.txt,True,2.0
1257,bot_twitter,tweet,t00008,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1261,tw_user_2,like,t00008,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1438,bot_twitter,tweet,t00009,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1438,tw_user_7,like,t00009,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1442,tw_user_10,retweet,t00009,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1454,tw_dorm_105,like,t00009,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1456,tw_dorm_15,like,t00009,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1620,bot_twitter,tweet,t00010,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1622,tw_user_2,like,t00010,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1626,tw_user_7,retweet,t00010,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1627,tw_user_11,like,t00010,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1796,bot_twitter,tweet,t00011,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1799,tw_user_4,like,t00011,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1801,tw_user_9,like,t00011,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1825,tw_dorm_172,like,t00011,bibi_slippers_15_instagram_poems_from_afrikaans_trans_alice_inggs_poem_6.txt,True,
1976,bot_twitter,tweet,t00012,iulia_militaru_6th_strophe_from_romanian_trans_claudia_serea_poem_11.txt,True,
1976,tw_user_1,retweet,t00012,iulia_militaru_6th_strophe_from_romanian_trans_claudia_serea_poem_11.txt,True,
1977,tw_user_3,like,t00012,iulia_militaru_6th_strophe_from_romanian_trans_claudia_serea_poem_11.txt,True,
1978,tw_user_9,like,t00012,iulia_militaru_6th_strophe_from_romanian_trans_claudia_serea_poem_11.txt,True,
1982,tw_user_1,like,t00012,iulia_militaru_6th_strophe_from_romanian_trans_claudia_serea_poem_11.txt,True,
1987,tw_dorm_105,like,t00012,iulia_militaru_6th_strophe_from_romanian_trans_claudia_serea_poem_11.txt,True,
2161,bot_twitter,tweet,t00013,joão_luís_barreto_guimarães_the_possibility_of_love_from_portuguese_trans_calvin_olsen_poem_2.txt,True,
2162,tw_user_7,like,t00013,joão_luís_barreto_guimarães_the_possibility_of_love_from_portuguese_trans_calvin_olsen_poem_2.txt,True,
2165,tw_user_3,like,t00013,joão_luís_barreto_guimarães_the_possibility_of_love_from_portuguese_trans_calvin_olsen_poem_2.txt,True,
2169,tw_user_6,like,t00013,joão_luís_barreto_guimarães_the_possibility_of_love_from_portuguese_trans_calvin_olsen_poem_2.txt,True,
2174,tw_dorm_170,like,t00013,joão_luís_barreto_guimarães_the_possibility_of_love_from_portuguese_trans_calvin_olsen_poem_2.txt,True,
2336,tw_user_7,like,t00014,kenichi_sasō_today_is_four_billion_years_of_personal_experience_from_japanese_trans_noriko_hara_and_joe_delong_poem_1.txt,True,
2336,bot_twitter,tweet,t00014,kenichi_sasō_today_is_four_billion_years_of_personal_experience_from_japanese_trans_noriko_hara_and_joe_delong_poem_1.txt,True,
2343,tw_user_11,like,t00014,kenichi_sasō_today_is_four_billion_years_of_personal_experience_from_japanese_trans_noriko_hara_and_joe_delong_poem_1.txt,True,
2344,tw_user_6,like,t00014,kenichi_sasō_today_is_four_billion_years_of_personal_experience_from_japanese_trans_noriko_hara_and_joe_delong_poem_1.txt,True,
2520,bot_twitter,tweet,t00015,lee_hyemi_receiving_the_runny_red_gem_from_korean_trans_so_j_lee_poem_4.txt,True,
2521,tw_user_3,like,t00015,lee_hyemi_receiving_the_runny_red_gem_from_korean_trans_so_j_lee_poem_4.txt,True,
2525,tw_user_2,like,t00015,lee_hyemi_receiving_the_runny_red_gem_from_korean_trans_so_j_lee_poem_4.txt,True,
2529,tw_dorm_81,like,t00015,lee_hyemi_receiving_the_runny_red_gem_from_korean_trans_so_j_lee_poem_4.txt,True,
2547,tw_dorm_147,like,t00015,lee_hyemi_receiving_the_runny_red_gem_from_korean_trans_so_j_lee_poem_4.txt,True,
2700,bot_twitter,tweet,t00016,lupe_gómez_secret_energy_from_galician_trans_erín_moure_poem_1.txt,True,
2703,tw_user_5,like,t00016,lupe_gómez_secret_energy_from_galician_trans_erín_moure_poem_1.txt,True,
